Date,Debit,Credit,Balance
17/10/2018,,"2,000.00","2,000.00"
20/10/2018,151.00,,"1,849.00"
30/10/2018,"1,500.00",,349.00
01/11/2018,,"19,000.00","19,349.00"
01/11/2018,,100.00,"19,449.00"
01/11/2018,,"9,600.00","29,049.00"
01/11/2018,,100.00,"29,149.00"
01/11/2018,,"7,700.00","36,849.00"
01/11/2018,,"3,000.00","39,849.00"
01/11/2018,"10,000.00",,"29,849.00"
01/11/2018,"10,000.00",,"19,849.00"
01/11/2018,"10,000.00",,"9,849.00"
01/11/2018,"8,000.00",,"1,849.00"
02/11/2018,,100.00,"1,949.00"
02/11/2018,,"23,400.00","25,349.00"
02/11/2018,"10,023.60",,"15,325.40"
02/11/2018,"10,023.60",,"5,301.80"
02/11/2018,"4,523.60",,778.20
02/11/2018,,"1,900.00","2,678.20"
02/11/2018,9.44,,"2,668.76"
02/11/2018,9.44,,"2,659.32"
03/11/2018,,"6,900.00","9,559.32"
03/11/2018,,"24,900.00","34,459.32"
03/11/2018,,"5,000.00","39,459.32"
03/11/2018,9.44,,"39,449.88"
03/11/2018,"10,023.60",,"29,426.28"
03/11/2018,"10,023.60",,"19,402.68"
03/11/2018,"10,023.60",,"9,379.08"
03/11/2018,,"5,000.00","14,379.08"
03/11/2018,,"4,990.00","19,369.08"
03/11/2018,,"4,999.00","24,368.08"
03/11/2018,,"3,800.00","28,168.08"
04/11/2018,9.44,,"28,158.64"
04/11/2018,9.44,,"28,149.20"
05/11/2018,"10,023.60",,"18,125.60"
05/11/2018,"10,023.60",,"8,102.00"
05/11/2018,"7,523.60",,578.40
05/11/2018,151.00,,427.40
06/11/2018,,"16,000.00","16,427.40"
06/11/2018,,"9,000.00","25,427.40"
17/11/2018,"10,023.60",,"3,303.80"
17/11/2018,"2,923.60",,380.20
18/11/2018,9.44,,370.76
18/11/2018,,"25,000.00","25,370.76"
18/11/2018,9.44,,"25,361.32"
18/11/2018,"10,023.60",,"15,337.72"
18/11/2018,"10,023.60",,"5,314.12"
18/11/2018,"4,723.60",,590.52
19/11/2018,,"25,990.00","26,580.52"
19/11/2018,"10,023.60",,"16,556.92"
19/11/2018,"9,923.60",,"6,633.32"
19/11/2018,"6,123.60",,509.72
20/11/2018,,"15,000.00","15,509.72"
20/11/2018,,"18,000.00","33,509.72"
20/11/2018,,"7,000.00","40,509.72"
20/11/2018,"10,023.60",,"30,486.12"
20/11/2018,"10,023.60",,"20,462.52"
20/11/2018,"9,923.60",,"10,538.92"
21/11/2018,9.44,,"10,529.48"
22/11/2018,"10,023.60",,505.88
22/11/2018,,"2,200.00","2,705.88"
22/11/2018,,"10,000.00","12,705.88"
22/11/2018,,"3,000.00","15,705.88"
22/11/2018,,"19,200.00","34,905.88"
22/11/2018,9.44,,"34,896.44"
22/11/2018,"10,023.60",,"24,872.84"
22/11/2018,"9,923.60",,"14,949.24"
22/11/2018,,"6,500.00","21,449.24"
23/11/2018,9.44,,"21,439.80"
23/11/2018,,"1,900.00","23,339.80"
23/11/2018,9.44,,"23,330.36"
23/11/2018,"10,023.60",,"13,306.76"
23/11/2018,"10,023.60",,"3,283.16"
23/11/2018,"2,523.60",,759.56
24/11/2018,9.44,,750.12
24/11/2018,,"18,990.00","19,740.12"
24/11/2018,9.44,,"19,730.68"
24/11/2018,"10,023.60",,"9,707.08"
24/11/2018,"9,023.60",,683.48
25/11/2018,,"30,000.00","30,683.48"
25/11/2018,"10,023.60",,"20,659.88"
25/11/2018,"10,023.60",,"10,636.28"
25/11/2018,"10,023.60",,612.68
26/11/2018,,"20,000.00","20,612.68"
26/11/2018,9.44,,"20,603.24"
06/11/2018,"9,923.60",,"5,480.20"
06/11/2018,"4,923.60",,556.60
06/11/2018,,"4,500.00","5,056.60"
06/11/2018,,"5,000.00","10,056.60"
06/11/2018,,"5,000.00","15,056.60"
06/11/2018,,"5,000.00","20,056.60"
06/11/2018,,"4,400.00","24,456.60"
07/11/2018,9.44,,"24,447.16"
07/11/2018,"9,923.60",,"14,523.56"
07/11/2018,"9,923.60",,"4,599.96"
07/11/2018,"3,923.60",,676.36
09/11/2018,,"19,400.00","20,076.36"
09/11/2018,,"10,000.00","30,076.36"
09/11/2018,9.44,,"30,066.92"
09/11/2018,"10,023.60",,"20,043.32"
09/11/2018,"10,023.60",,"10,019.72"
09/11/2018,"9,523.60",,496.12
10/11/2018,,"20,000.00","20,496.12"
10/11/2018,,"5,000.00","25,496.12"
10/11/2018,9.44,,"25,486.68"
10/11/2018,"10,023.60",,"15,463.08"
10/11/2018,"10,023.60",,"5,439.48"
10/11/2018,"5,023.60",,415.88
11/11/2018,,"30,000.00","30,415.88"
11/11/2018,9.44,,"30,406.44"
12/11/2018,"10,023.60",,"20,382.84"
12/11/2018,"10,023.60",,"10,359.24"
12/11/2018,"9,523.60",,835.64
12/11/2018,,"24,990.00","25,825.64"
12/11/2018,9.44,,"25,816.20"
12/11/2018,"10,000.00",,"15,816.20"
12/11/2018,"15,000.00",,816.20
14/11/2018,,"25,000.00","25,816.20"
14/11/2018,,"4,000.00","29,816.20"
14/11/2018,9.44,,"29,806.76"
14/11/2018,"10,023.60",,"19,783.16"
14/11/2018,"10,023.60",,"9,759.56"
14/11/2018,"9,223.60",,535.96
14/11/2018,,"37,900.00","38,435.96"
15/11/2018,9.44,,"38,426.52"
16/11/2018,9.44,,"38,417.08"
16/11/2018,"10,023.60",,"28,393.48"
16/11/2018,"10,023.60",,"18,369.88"
16/11/2018,"5,023.60",,"13,346.28"
17/11/2018,9.44,,"13,336.84"
27/11/2018,"10,023.60",,556.04
27/11/2018,,"30,700.00","31,256.04"
27/11/2018,,"24,000.00","55,256.04"
27/11/2018,,"1,600.00","56,856.04"
27/11/2018,9.44,,"56,846.60"
27/11/2018,"10,023.60",,"46,823.00"
27/11/2018,"10,000.00",,"36,823.00"
27/11/2018,"15,000.00",,"21,823.00"
27/11/2018,"10,000.00",,"11,823.00"
28/11/2018,9.44,,"11,813.56"
28/11/2018,"10,023.60",,"1,789.96"
28/11/2018,"1,023.60",,766.36
28/11/2018,,"25,000.00","25,766.36"
28/11/2018,9.44,,"25,756.92"
29/11/2018,"10,023.60",,"15,733.32"
29/11/2018,"10,023.60",,"5,709.72"
29/11/2018,"4,923.60",,786.12
29/11/2018,,"20,000.00","20,786.12"
29/11/2018,,"5,000.00","25,786.12"
29/11/2018,,"2,000.00","27,786.12"
29/11/2018,9.44,,"27,776.68"
30/11/2018,,"2,000.00","29,776.68"
30/11/2018,,"2,000.00","31,776.68"
30/11/2018,,"1,000.00","32,776.68"
30/11/2018,9.44,,"32,767.24"
01/12/2018,"10,000.00",,"22,767.24"
01/12/2018,"10,000.00",,"12,767.24"
01/12/2018,,100.00,"12,867.24"
01/12/2018,,"4,500.00","17,367.24"
01/12/2018,"11,500.00",,"5,867.24"
01/12/2018,,"4,800.00","10,667.24"
01/12/2018,,"4,800.00","15,467.24"
01/12/2018,,"4,800.00","20,267.24"
01/12/2018,,"4,800.00","25,067.24"
01/12/2018,"10,000.00",,"15,067.24"
02/12/2018,"10,023.60",,"5,043.64"
02/12/2018,"4,523.60",,520.04
03/12/2018,,"30,000.00","30,520.04"
03/12/2018,"10,023.60",,"20,496.44"
03/12/2018,"10,023.60",,"10,472.84"
03/12/2018,"10,023.60",,449.24
04/12/2018,151.00,,298.24
04/12/2018,,"10,000.00","10,298.24"
04/12/2018,,"8,000.00","18,298.24"
04/12/2018,"10,023.60",,"8,274.64"
,,,
,"766,459.00",,
